    PID TTY          TIME CMD
   2137 ?        00:05:40 gnome-shell
   2145 ?        00:00:00 dbus-daemon
   2153 ?        00:00:00 gvfs-gphoto2-vo
   2162 ?        00:00:00 gvfs-afc-volume
   2167 ?        00:00:00 gvfs-mtp-volume
   2171 ?        00:00:00 gvfs-goa-volume
   2175 ?        00:00:00 goa-daemon
   2200 ?        00:00:00 goa-identity-se
   2248 ?        00:00:00 gnome-shell-cal
   2255 ?        00:00:00 evolution-sourc
   2259 ?        00:00:00 dconf-service
   2271 ?        00:00:00 evolution-calen
   2275 ?        00:00:00 snapd-desktop-i
   2276 ?        00:00:02 nautilus
   2277 ?        00:00:00 gvfsd-trash
   2288 ?        00:00:00 at-spi2-registr
   2290 ?        00:00:00 gjs
   2301 ?        00:00:00 evolution-addre
   2313 ?        00:00:00 sh
   2314 ?        00:00:00 gsd-a11y-settin
   2316 ?        00:00:00 gsd-color
   2317 ?        00:00:01 ibus-daemon
   2322 ?        00:00:00 gsd-datetime
   2323 ?        00:00:00 gsd-housekeepin
   2325 ?        00:00:00 gsd-keyboard
   2328 ?        00:00:00 gsd-media-keys
   2345 ?        00:00:00 gsd-power
   2347 ?        00:00:00 gsd-print-notif
   2353 ?        00:00:00 gsd-rfkill
   2358 ?        00:00:00 gsd-screensaver
   2364 ?        00:00:00 gsd-sharing
   2368 ?        00:00:00 ibus-dconf
   2369 ?        00:00:00 gsd-smartcard
   2371 ?        00:00:01 ibus-extension-
   2374 ?        00:00:00 gsd-sound
   2378 ?        00:00:00 gsd-wacom
   2382 ?        00:00:00 ibus-portal
   2391 ?        00:00:00 xdg-desktop-por
   2434 ?        00:00:00 VBoxClient
   2435 ?        00:00:00 VBoxClient
   2438 ?        00:00:00 gsd-printer
   2446 ?        00:00:00 xdg-desktop-por
   2447 ?        00:00:00 gsd-disk-utilit
   2459 ?        00:00:00 evolution-alarm
   2504 ?        00:00:04 snap-store
   2514 ?        00:00:16 Xwayland
   2540 ?        00:00:00 ibus-engine-sim
   2646 ?        00:00:00 gsd-xsettings
   2655 ?        00:00:00 gjs
   2671 ?        00:00:00 xdg-desktop-por
   2700 ?        00:00:01 ibus-x11
   2726 ?        00:00:00 gjs
   2748 ?        00:00:00 VBoxClient
   2749 ?        00:00:00 VBoxClient
   2755 ?        00:00:00 VBoxClient
   2756 ?        00:00:01 VBoxClient
   2761 ?        00:00:00 VBoxClient
   2762 ?        00:00:00 VBoxClient
   2824 ?        00:00:00 gvfsd-metadata
